"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"2706","숙박업","03_11_03_P","5020000","5030000-201-1968-00001","1968-07-18","","03","폐업","02","폐업","2018-09-14","","","","054 2751144","0.00","790-830","경상북도 포항시 남구 송도동 산 1번지","","","금호","2018-09-14 09:43:29","U","2018-09-14 23:59:59","여관업","","","여관업","0","0","0","0","0","0","0","0","","","","","","","N",
"2707","숙박업","03_11_03_P","5020000","5030000-201-1978-00003","1978-12-29","","03","폐업","02","폐업","2005-01-26","","","","054 2475400","718.11","790-830","경상북도 포항시 남구 송도동 439-30번지","","","대우","2003-10-10 00:00:00","I","2018-08-31 23:59:59","여관업","414108.02997935","284027.595833657","여관업","3","1","","","","","12","","","","","임대","","","N",
"2708","숙박업","03_11_03_P","5020000","5030000-201-1983-00006","1983-10-06","","03","폐업","02","폐업","2012-10-11","","","","054 2478277","0.00","790-831","경상북도 포항시 남구 송도동 483-3번지","","","일광여관","2003-10-10 00:00:00","I","2018-08-31 23:59:59","여관업","414140.964151519","283670.380823492","여관업","2","","1","2","","","10","","","","","임대","","","N",
"2709","숙박업","03_11_03_P","5020000","5030000-201-1978-00005","1978-09-25","","03","폐업","02","폐업","2018-08-01","","","","054 2911922","134.82","790-836","경상북도 포항시 남구 청림동 20-1번지","경상북도 포항시 남구 동해안로 5952 (청림동)","37920","황해","2018-08-01 13:59:04","I","2018-08-31 23:59:59","여관업","417469.891649221","279899.783169482","여관업","1","0","1","1","0","0","0","0","","","","자가","","","N",
"2710","숙박업","03_11_03_P","5020000","5030000-201-1990-00018","1990-03-12","","03","폐업","02","폐업","1998-11-27","","","","054 2816111","0.00","790-826","경상북도 포항시 남구 대잠동 942-24번지","","","팜파스여관","2003-02-28 00:00:00","I","2018-08-31 23:59:59","여관업","411368.054616799","281754.406239724","여관업","4","1","4","4","1","1","","","","","","임대","","","N",
"2711","숙박업","03_11_03_P","5020000","5030000-201-1985-00009","1985-12-09","","03","폐업","02","폐업","1998-10-26","","","","054 2849445","0.00","790-839","경상북도 포항시 남구 해도동 493-33번지","","","성림장","2003-02-28 00:00:00","I","2018-08-31 23:59:59","여관업","413678.218666978","282904.225775975","여관업","2","","2","2","","","","","","","","자가","","","N",
"2712","숙박업","03_11_03_P","5020000","5030000-201-1982-00003","1982-08-02","","03","폐업","02","폐업","1999-01-04","","","","054 2723010","0.00","790-838","경상북도 포항시 남구 해도동 9-10번지","","","장안여관","2003-02-28 00:00:00","I","2018-08-31 23:59:59","여관업","413662.792195559","283701.924541052","여관업","1","","1","1","","","","","","","","자가","","","N",
"2713","숙박업","03_11_03_P","5020000","5030000-201-1997-00016","1997-10-20","","03","폐업","02","폐업","1999-07-29","","","","054 2481547","0.00","790-823","경상북도 포항시 남구 대도동 124-2번지","","","대아장여관","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여관업","413196.478445382","281959.244796691","여관업","6","","2","6","","","","","","","","","","","N",
"2714","숙박업","03_11_03_P","5020000","5030000-201-1990-00019","1990-05-09","","03","폐업","02","폐업","1998-03-18","","","","","0.00","790-828","경상북도 포항시 남구 상도동 662-1번지","","","홀인원장여관","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여관업","411831.80114276","281660.652789925","여관업","4","1","4","4","1","1","","27","","","","자가","","","N",
"2715","숙박업","03_11_03_P","5020000","5030000-201-2002-00011","2002-11-28","","03","폐업","02","폐업","2010-11-18","","","","054 2844705","1339.24","790-828","경상북도 포항시 남구 상도동 584-19번지","","","모텔윈","2003-04-11 00:00:00","I","2018-08-31 23:59:59","여관업","411593.104305101","281614.020846468","여관업","6","","1","5","","","8","40","","","","","","","N",
"2716","숙박업","03_11_03_P","5020000","5030000-201-1984-00002","1984-08-27","","03","폐업","02","폐업","2012-10-11","","","","054 2922143","0.00","790-908","경상북도 포항시 남구 오천읍 용덕리 394-1번지","","","구정장여관","2003-03-26 00:00:00","I","2018-08-31 23:59:59","여관업","417668.621092607","277831.368795211","여관업","3","1","1","3","1","1","12","4","","","","임대","","","N",
"2717","숙박업","03_11_03_P","5020000","5020000-201-1995-00001","1995-02-08","","03","폐업","02","폐업","2020-03-02","","","","054 2610377","0.00","791-942","경상북도 포항시 북구 흥해읍 칠포리 197번지","경상북도 포항시 북구 흥해읍 해안로 1374","37530","칠포그린비취호텔","2020-03-02 13:50:15","U","2020-03-04 02:40:00","일반호텔","415722.304431119","295150.248023222","일반호텔","0","0","0","","0","","28","39","","","","","","","N",
"2718","숙박업","03_11_03_P","5020000","5020000-201-1991-00001","1991-02-07","","03","폐업","02","폐업","2020-03-02","","","","054 2752000","0.00","791-810","경상북도 포항시 북구 용흥동 145-21번지","경상북도 포항시 북구 죽파로 6 (용흥동)","37747","(주)호텔로얄시그너스","2020-03-02 13:47:08","U","2020-03-04 02:40:00","관광호텔","412401.207906665","283564.630870405","관광호텔","","","","","","","17","98","","","","","","","N",
"2719","숙박업","03_11_03_P","5020000","5020000-201-1997-00001","1997-12-15","","03","폐업","02","폐업","2020-03-02","","","","054 2484540","0.00","791-802","경상북도 포항시 북구 두호동 664번지","경상북도 포항시 북구 해안로 93 (두호동)","37708","미시갈호텔","2020-03-02 13:46:13","U","2020-03-04 02:40:00","일반호텔","414168.138875669","286700.174187674","일반호텔","0","0","0","","0","","8","36","","","","","","","N",
"2720","숙박업","03_11_03_P","5020000","5020000-201-1990-00001","1990-06-04","","03","폐업","02","폐업","2018-09-18","","","","054 2416001","0.00","790-830","경상북도 포항시 남구 송도동 438-1번지","경상북도 포항시 남구 송도로 62 (송도동)","37798","(주)올림푸스관광호텔","2018-11-08 10:22:13","U","2018-11-10 02:36:32","관광호텔","414249.495475761","284043.725642884","관광호텔","0","0","0","0","0","0","8","53","","","","","","","N",
"2721","숙박업","03_11_03_P","5020000","5030000-201-1979-00006","1979-01-05","","03","폐업","02","폐업","1990-06-20","","","","","","790-836","경상북도 포항시 남구 청림동 3-182번지","","","낙원여인숙","2003-12-26 00:00:00","I","2018-08-31 23:59:59","여인숙업","417423.850118862","280001.84639585","여인숙업","","","","","","","","","","","","","","","N",
"2722","숙박업","03_11_03_P","5020000","5040000-201-1968-00005","1968-02-20","","03","폐업","02","폐업","2018-08-27","","","","","","791-030","경상북도 포항시 북구 대흥동 713번지","","","길여인숙","2019-02-01 11:18:41","U","2019-02-03 02:40:00","여인숙업","","","여인숙업","0","0","0","0","0","0","0","0","","","","","","","N",
"2723","숙박업","03_11_03_P","5020000","5040000-201-1982-00007","1982-05-12","","03","폐업","02","폐업","2018-09-13","","","","","","791-030","경상북도 포항시 북구 대흥동 595-160번지","경상북도 포항시 북구 용당로 101-1 (대흥동)","37707","경주여인숙","2018-09-17 10:52:10","U","2018-09-17 23:59:59","여인숙업","412792.199688587","284368.746348239","여인숙업","0","0","0","0","0","0","0","0","","","","","","","N",
"2724","숙박업","03_11_03_P","5020000","5040000-201-1971-00002","1971-08-27","","03","폐업","02","폐업","2018-09-13","","","","","","791-030","경상북도 포항시 북구 대흥동 595-38번지","경상북도 포항시 북구 용당로91번길 4-2 (대흥동)","37707","영흥여인숙","2018-09-17 10:56:45","U","2018-09-17 23:59:59","여인숙업","412761.67433316","284306.151059847","여인숙업","0","0","0","0","0","0","0","0","","","","","","","N",
"2725","숙박업","03_11_03_P","5020000","5030000-201-1999-00003","1999-06-30","","03","폐업","02","폐업","2012-05-01","","","","054 2840882","0.00","790-804","경상북도 포항시 남구 구룡포읍 구평리 431-1번지 외1필지","","","구포모텔","2012-05-03 11:20:02","I","2018-08-31 23:59:59","여관업","","","여관업","","","","","","","7","22","","","","","","","N",
"2726","숙박업","03_11_03_P","5020000","5030000-201-1995-00002","1995-09-23","","03","폐업","02","폐업","2014-11-24","","","","054 2816970","0.00","790-822","경상북도 포항시 남구 대도동 103-7번지","경상북도 포항시 남구 포스코대로367번길 5-1 (대도동)","37816","성경장 여관","2003-11-19 00:00:00","I","2018-08-31 23:59:59","여관업","413015.480874663","282215.42449915","여관업","4","","1","4","","","3","16","","","","","","","N",
"2727","숙박업","03_11_03_P","5020000","5030000-201-1996-00003","1996-06-05","","03","폐업","02","폐업","2009-07-20","","","","054 2772893","0.00","790-826","경상북도 포항시 남구 대잠동 946번지","","","힐튼모텔","2003-11-19 00:00:00","I","2018-08-31 23:59:59","여관업","411488.773123388","281769.916184272","여관업","5","1","1","5","","","","32","","","","자가","","","N",
"2728","숙박업","03_11_03_P","5020000","5040000-201-1979-00002","1979-10-23","","03","폐업","02","폐업","2018-09-13","","","","054 2472838","0.00","791-062","경상북도 포항시 북구 동빈2가 136-9번지","경상북도 포항시 북구 중앙로298번길 27-7 (동빈2가)","37736","청룡여관","2018-09-17 11:05:16","U","2018-09-17 23:59:59","여관업","413453.663533896","284733.505344986","여관업","0","0","0","0","0","0","20","0","","","","","","","N",
"2729","숙박업","03_11_03_P","5020000","5040000-201-1999-00011","1999-10-19","","03","폐업","02","폐업","2004-11-01","","","","054 2475472","0.00","791-120","경상북도 포항시 북구 항구동 17-85번지","","","현대모텔","2003-08-20 00:00:00","I","2018-08-31 23:59:59","여관업","414119.926382741","286499.326614452","여관업","","","","","","","6","14","","","","임대","","","N",
"2730","숙박업","03_11_03_P","5020000","5040000-201-1997-00011","1997-11-01","","03","폐업","02","폐업","2018-08-30","","","","054 2444949","0.00","791-020","경상북도 포항시 북구 덕산동 114-16번지","경상북도 포항시 북구 서동로91번길 13 (덕산동)","37728","도우장여관","2018-08-30 16:29:27","I","2018-08-31 23:59:59","여관업","413319.81672375","284975.886941768","여관업","0","0","0","0","0","0","12","13","","","","","","","N",
"2731","숙박업","03_11_03_P","5020000","5040000-201-1998-00015","1998-03-18","","03","폐업","02","폐업","2019-12-19","","","","054 2770208","0.00","791-844","경상북도 포항시 북구 죽도동 640-11번지","경상북도 포항시 북구 포스코대로 271 (죽도동)","37754","설록모텔","2019-12-19 13:02:52","U","2019-12-21 02:40:00","여관업","412182.199109","282683.667162118","여관업","0","0","0","0","0","0","10","16","","","","","","","N",
"2732","숙박업","03_11_03_P","5020000","5030000-201-2004-00011","2004-12-06","","03","폐업","02","폐업","2012-07-26","","","","054 2828787","940.52","790-863","경상북도 포항시 남구 해도동 207-27번지","","","ECO비즈니스호텔원","2012-07-26 16:51:12","I","2018-08-31 23:59:59","여관업","413469.136946525","281784.129525689","여관업","5","","1","5","","","4","24","","","","자가","","","N",
"2733","숙박업","03_11_03_P","5020000","5040000-201-1999-00023","1999-11-08","","03","폐업","02","폐업","2016-12-05","","","","054275 3322","0.00","791-841","경상북도 포항시 북구 죽도동 58-12번지","경상북도 포항시 북구 중흥로330번길 33 (죽도동)","37774","오렌지모텔","2008-05-09 10:08:15","I","2018-08-31 23:59:59","여관업","413238.469260915","283512.075497252","여관업","0","0","0","0","0","0","3","23","","","","","","","N",
"2734","숙박업","03_11_03_P","5020000","5040000-201-1986-00007","1986-12-23","","03","폐업","02","폐업","2019-06-11","","","","054 2731602","673.74","791-845","경상북도 포항시 북구 죽도동 713-9번지","경상북도 포항시 북구 중흥로113번길 7-2 (죽도동)","37758","미진여관","2019-06-11 14:55:54","U","2019-06-13 02:40:00","여관업","411861.069275064","281999.373686427","여관업","0","0","0","0","0","0","12","11","","","","","","","N",
"2735","숙박업","03_11_03_P","5020000","5040000-201-1987-00004","1987-01-21","","03","폐업","02","폐업","2016-04-06","","","","054 2751300","717.59","791-841","경상북도 포항시 북구 죽도동 49-14번지","경상북도 포항시 북구 중흥로330번길 13 (죽도동)","","해동여관","2010-11-08 15:36:43","I","2018-08-31 23:59:59","여관업","","","여관업","0","0","0","0","0","0","6","20","","","","","","","N",
"2736","숙박업","03_11_03_P","5020000","5030000-201-1968-00003","1968-11-28","","03","폐업","02","폐업","2004-12-14","","","","054 2762741","","790-801","경상북도 포항시 남구 구룡포읍 구룡포리 459-48번지","","","매월여인숙","2003-10-23 00:00:00","I","2018-08-31 23:59:59","여인숙업","430440.493831953","279852.306230742","여인숙업","2","","1","1","","","8","","","","","","","","N",
"2737","숙박업","03_11_03_P","5020000","5040000-201-1976-00004","1976-08-10","","03","폐업","02","폐업","2018-09-13","","","","","","791-030","경상북도 포항시 북구 대흥동 595번지","","","대전여인숙","2018-09-17 09:37:00","U","2018-09-17 23:59:59","여인숙업","","","여인숙업","0","0","0","0","0","0","0","0","","","","","","","N",
"2738","숙박업","03_11_03_P","5020000","5040000-201-1999-00014","1999-03-27","","03","폐업","02","폐업","2007-12-12","","","","054 2832212","0.00","791-844","경상북도 포항시 북구 죽도동 639-23번지","","","올림피아여관","2006-11-13 00:00:00","I","2018-08-31 23:59:59","여관업","411953.683839983","282820.596475579","여관업","","","","","","","10","10","","","","","","","N",
"2739","숙박업","03_11_03_P","5020000","5020000-201-1987-00001","1987-11-06","","03","폐업","02","폐업","2015-09-02","","","","054 2426001","0.00","791-080","경상북도 포항시 북구 중앙동 17번지","경상북도 포항시 북구 동빈로 9 (중앙동)","37738","선프린스관광호텔","2015-11-11 10:19:42","I","2018-08-31 23:59:59","관광호텔","413376.894642739","284542.890285032","관광호텔","0","0","0","0","0","0","13","17","","","","","","","N",
"2740","숙박업","03_11_03_P","5020000","5030000-201-1971-00005","1971-08-16","","03","폐업","02","폐업","2003-01-23","","","","","","790-830","경상북도 포항시 남구 송도동 산 1번지","","","대구희락여인숙","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"2741","숙박업","03_11_03_P","5020000","5030000-201-1978-00010","1978-08-28","","03","폐업","02","폐업","2003-01-23","","","","","","790-830","경상북도 포항시 남구 송도동 436-3번지","","","수영여인숙","2003-12-26 00:00:00","I","2018-08-31 23:59:59","여인숙업","414200.448622887","284083.986115953","여인숙업","","","","","","","","","","","","","","","N",
"2742","숙박업","03_11_03_P","5020000","5030000-201-1990-00020","1990-09-14","","03","폐업","02","폐업","2008-01-23","","","","054 2736469","686.94","790-822","경상북도 포항시 남구 대도동 103-2번지","","","샛별장여관","2003-12-26 00:00:00","I","2018-08-31 23:59:59","여관업","412939.889259828","282255.207752041","여관업","4","1","1","4","","","5","22","","","","임대","","","N",
"2743","숙박업","03_11_03_P","5020000","5030000-201-1982-00006","1982-09-16","","03","폐업","02","폐업","1998-01-20","","","","","","790-830","경상북도 포항시 남구 송도동 444-19번지","","","송교","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","413728.843127676","284082.977021131","여인숙업","","","","","","","","","","","","","","","N",
"2744","숙박업","03_11_03_P","5020000","5030000-201-1989-00005","1989-09-11","","03","폐업","02","폐업","2002-08-16","","","","054 2759345","0.00","790-828","경상북도 포항시 남구 상도동 584-4번지","","","터미널장","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여관업","411593.158218835","281647.103488712","여관업","3","1","","","","","20","","","","","임대","","","N",
"2745","숙박업","03_11_03_P","5020000","5030000-201-1974-00001","1974-07-30","","03","폐업","02","폐업","2003-01-23","","","","","","790-830","경상북도 포항시 남구 송도동 산 1번지","","","여로여인숙","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"2746","숙박업","03_11_03_P","5020000","5030000-201-1968-00004","1968-07-30","","03","폐업","02","폐업","2003-01-23","","","","","","790-830","경상북도 포항시 남구 송도동 산 1번지","","","신라여인숙","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"2747","숙박업","03_11_03_P","5020000","5030000-201-1970-00001","1970-07-30","","03","폐업","02","폐업","2003-01-23","","","","","","790-830","경상북도 포항시 남구 송도동 산 1번지","","","송림여인숙","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"2748","숙박업","03_11_03_P","5020000","5030000-201-1981-00002","1981-08-19","","03","폐업","02","폐업","2018-09-18","","","","054 248 4570","","790-830","경상북도 포항시 남구 송도동 439-32번지","경상북도 포항시 남구 송도로 50 (송도동)","37798","별장여인숙","2018-09-18 17:58:20","U","2018-09-18 23:59:59","여인숙업","414131.802988581","284030.0849241","여인숙업","0","0","0","0","0","0","0","0","","","","","","","N",
"2749","숙박업","03_11_03_P","5020000","5030000-201-1978-00009","1978-03-06","","03","폐업","02","폐업","1999-11-08","","","","","","790-830","경상북도 포항시 남구 송도동 444-10번지","","","육일여인숙","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"2750","숙박업","03_11_03_P","5020000","5030000-201-1971-00003","1971-07-16","","03","폐업","02","폐업","2003-01-23","","","","","","790-830","경상북도 포항시 남구 송도동 산 1번지","","","부흥여인숙","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"2751","숙박업","03_11_03_P","5020000","5030000-201-1969-00002","1969-08-04","","03","폐업","02","폐업","2003-01-23","","","","","","790-830","경상북도 포항시 남구 송도동 산 1번지","","","해도여인숙","2003-12-26 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"2752","숙박업","03_11_03_P","5020000","5030000-201-1969-00003","1969-08-04","","03","폐업","02","폐업","2003-01-23","","","","","","790-830","경상북도 포항시 남구 송도동 산 1번지","","","동원여인숙","2003-12-22 00:00:00","I","2018-08-31 23:59:59","여인숙업","","","여인숙업","","","","","","","","","","","","","","","N",
"2753","숙박업","03_11_03_P","5020000","5030000-201-2000-00003","2000-06-26","","03","폐업","02","폐업","2006-01-26","","","","054 2776576","328.32","790-826","경상북도 포항시 남구 대잠동 964-7번지","","","쟈스민여관","2003-12-10 00:00:00","I","2018-08-31 23:59:59","여관업","411509.787503793","281648.862406328","여관업","3","","2","3","","","1","13","","","","임대","","","N",
"2754","숙박업","03_11_03_P","5020000","5030000-201-1987-00006","1987-05-04","","03","폐업","02","폐업","2018-09-14","","","","054 2440087","923.62","790-830","경상북도 포항시 남구 송도동 438-27번지","경상북도 포항시 남구 송도로 64 (송도동)","37798","그린파크","2018-09-14 09:42:31","U","2018-09-14 23:59:59","여관업","414267.708972276","284067.579125139","여관업","6","0","1","6","0","0","33","0","","","","임대","","","N",
"2755","숙박업","03_11_03_P","5020000","5040000-201-1998-00003","1998-06-02","","03","폐업","02","폐업","2010-02-12","","","","054261 1396","981.36","791-942","경상북도 포항시 북구 흥해읍 칠포리 343-1번지","","","대웅장여관","2007-03-28 00:00:00","I","2018-08-31 23:59:59","여관업","415235.096248565","296046.775220616","여관업","","","","","","","16","16","","","","","","","N",
"2756","숙박업","03_11_03_P","5020000","5030000-201-1990-00021","1990-08-01","","03","폐업","02","폐업","2006-06-20","","","","054 2825757","826.41","790-863","경상북도 포항시 남구 해도동 122-4번지","","","서울경동장","2004-08-19 00:00:00","I","2018-08-31 23:59:59","여관업","413586.149139216","282031.307183628","여관업","4","1","1","4","","","18","15","","","","임대","","","N",
"2757","숙박업","03_11_03_P","5020000","5030000-201-1987-00020","1987-12-24","","03","폐업","02","폐업","2008-06-26","","","","054 2755858","607.60","790-826","경상북도 포항시 남구 대잠동 936-12번지","","","가야장여관","2004-04-19 00:00:00","I","2018-08-31 23:59:59","여관업","411410.412055716","281857.364080563","여관업","3","1","1","3","1","1","10","10","","","","","","","N",
"2758","숙박업","03_11_03_P","5020000","5040000-201-1984-00003","1984-01-27","","03","폐업","02","폐업","2014-09-22","","","","054 2737113","0.00","791-844","경상북도 포항시 북구 죽도동 644-12번지","경상북도 포항시 북구 포스코대로 288 (죽도동)","37755","오광장여관","2008-05-09 10:11:31","I","2018-08-31 23:59:59","여관업","412253.60758671","282530.419741644","여관업","0","0","0","0","0","0","5","15","","","","","","","N",
"2759","숙박업","03_11_03_P","5020000","5040000-201-1985-00004","1985-11-15","","03","폐업","02","폐업","2013-07-24","","","","054 2726757","0.00","791-844","경상북도 포항시 북구 죽도동 639-1번지","경상북도 포항시 북구 중흥로191번길 47 (죽도동)","37754","백조장여관","2008-05-09 10:10:14","I","2018-08-31 23:59:59","여관업","411937.1506056","282865.937330791","여관업","0","0","0","0","0","0","3","17","","","","","","","N",
"2760","숙박업","03_11_03_P","5020000","5040000-201-1984-00004","1984-09-04","","03","폐업","02","폐업","2008-02-25","","","","054 2744460","0.00","791-844","경상북도 포항시 북구 죽도동 639-9번지","","","청수장여관","2003-08-20 00:00:00","I","2018-08-31 23:59:59","여관업","411998.854869309","282800.561792457","여관업","","","","","","","10","10","","","","","","","N",
"2761","숙박업","03_11_03_P","5020000","5040000-201-1996-00009","1996-02-17","","03","폐업","02","폐업","2012-01-10","","","","054281 0230","","791-841","경상북도 포항시 북구 죽도동 47-6번지 외1","","","아세아나장여관","2012-01-10 11:21:50","I","2018-08-31 23:59:59","여관업","413087.968662383","283906.148242204","여관업","0","0","0","0","0","0","20","16","","","","","","","N",
"2762","숙박업","03_11_03_P","5020000","5040000-201-1997-00026","1997-12-02","","03","폐업","02","폐업","2018-09-13","","","","054 2490080","","791-802","경상북도 포항시 북구 두호동 464번지","경상북도 포항시 북구 삼호로 257-1 (두호동)","","청와장여관","2018-09-17 11:09:23","U","2018-09-17 23:59:59","여관업","414318.424622807","287146.341166957","여관업","0","0","0","0","0","0","7","15","","","","","","","N",
"2763","숙박업","03_11_03_P","5020000","5030000-201-1990-00023","1990-06-04","","03","폐업","02","폐업","2018-09-18","","","","054 2416001","0.00","790-830","경상북도 포항시 남구 송도동 438-8번지","경상북도 포항시 남구 송도로 62 (송도동)","37798","(주)올림푸스관광호텔","2018-09-18 21:17:36","U","2018-09-18 23:59:59","관광호텔","414274.820198056","284032.418852053","관광호텔","0","0","0","0","0","0","8","53","","","","","","","N",
"2764","숙박업","03_11_03_P","5020000","5020000-201-2003-00001","2003-10-31","","03","폐업","02","폐업","2017-01-31","","","","054 2219452","1030.92","790-826","경상북도 포항시 남구 대잠동 780-177번지","경상북도 포항시 남구 행복길75번길 11 (대잠동)","37662","(주)필코리아 영일대힐튼","2018-11-08 10:35:35","U","2018-11-10 02:36:32","일반호텔","410402.140540467","281868.211429299","일반호텔","1","0","0","0","0","0","0","28","","","","임대","","","N",
"2765","숙박업","03_11_03_P","5020000","5040000-201-1987-00008","1987-11-06","","03","폐업","02","폐업","2015-09-02","","","","054 2422800","0.00","791-080","경상북도 포항시 북구 중앙동 17번지","경상북도 포항시 북구 동빈로 9 (중앙동)","37738","선프린스관광호텔","2006-11-13 00:00:00","I","2018-08-31 23:59:59","관광호텔","413376.894642739","284542.890285032","관광호텔","","","","","","","13","17","","","","","","","N",
"2766","숙박업","03_11_03_P","5020000","5040000-201-1989-00001","1989-10-20","","03","폐업","02","폐업","2006-04-19","","","","054 2755155","0.00","791-843","경상북도 포항시 북구 죽도동 614-6번지","","","오션파크관광호텔","2001-08-20 00:00:00","I","2018-08-31 23:59:59","관광호텔","412524.194454096","282954.924253363","관광호텔","0","0","0","","0","","10","42","","","","","","","N",
"2767","숙박업","03_11_03_P","5020000","5040000-201-1980-00003","1980-07-26","","03","폐업","02","폐업","2006-05-03","","","","054 2412801","0.00","791-070","경상북도 포항시 북구 여천동 9-1번지","","","뉴금강호텔","2001-08-20 00:00:00","I","2018-08-31 23:59:59","일반호텔","413348.423325575","284799.191494669","일반호텔","0","0","0","","0","","2","28","","","","","","","N",
"2768","숙박업","03_11_03_P","5020000","5040000-201-2014-00001","2014-06-11","","03","폐업","02","폐업","2022-09-29","","","","054  2510026","876.52","791-851","경상북도 포항시 북구 장성동 1418-5","경상북도 포항시 북구 장량로114번길 5 (장성동)","37588","힐링모텔","2022-09-29 13:42:33","U","2022-10-01 02:40:00","여관업","415489.612722184","289414.96520363","여관업","3","0","1","3","0","0","0","19","","","","자가","0","0","N",
"2769","숙박업","03_11_03_P","5020000","5040000-201-1998-00007","1998-12-30","","03","폐업","02","폐업","2018-09-13","","","","054231 5809","0.00","791-861","경상북도 포항시 북구 송라면 하송리 283-6번지","경상북도 포항시 북구 송라면 동해대로2777번길 15","37513","행운장모텔","2018-09-17 11:11:07","U","2018-09-17 23:59:59","여관업","411355.671003775","304199.590620303","여관업","0","0","0","0","0","0","5","19","","","","","","","N",
"2770","숙박업","03_11_03_P","5020000","5030000-201-1972-00001","1972-04-27","","03","폐업","02","폐업","2018-09-18","","","","","0.00","790-830","경상북도 포항시 남구 송도동 산 1번지","","","동래","2018-09-18 18:01:19","U","2018-09-18 23:59:59","여관업","","","여관업","0","0","0","0","0","0","0","0","","","","","","","N",
"2771","숙박업","03_11_03_P","5020000","5030000-201-1972-00002","1972-05-04","","03","폐업","02","폐업","2018-05-11","","","","","0.00","790-830","경상북도 포항시 남구 송도동 산 1번지","","","동명","2018-05-11 09:00:56","I","2018-08-31 23:59:59","여관업","","","여관업","0","0","0","0","0","0","0","0","","","","","","","N",
"2772","숙박업","03_11_03_P","5020000","5030000-201-1983-00005","1983-11-03","","03","폐업","02","폐업","2018-08-30","","","","054 2849835","133.65","790-812","경상북도 포항시 남구 호미곶면 구만리 93번지","경상북도 포항시 남구 호미곶면 보천길 4","37928","대보여관","2018-08-30 10:21:12","I","2018-08-31 23:59:59","여관업","430335.042129826","289552.123516435","여관업","2","0","2","2","0","0","9","0","","","","임대","","","N",
"2773","숙박업","03_11_03_P","5020000","5030000-201-1994-00007","1994-02-18","","03","폐업","02","폐업","2004-09-08","","","","054 2923512","0.00","790-854","경상북도 포항시 남구 동해면 임곡리 113번지 외6필지","","","임곡모텔","2003-10-31 00:00:00","I","2018-08-31 23:59:59","여관업","421994.477684059","280999.552466617","여관업","3","","","","","","14","","","","","자가","","","N",
"2774","숙박업","03_11_03_P","5020000","5030000-201-1978-00004","1978-07-10","","03","폐업","02","폐업","2018-05-11","","","","","0.00","790-830","경상북도 포항시 남구 송도동 산 1번지","","","서울","2018-05-11 08:54:36","I","2018-08-31 23:59:59","여관업","","","여관업","0","0","0","0","0","0","0","0","","","","","","","N",
"2775","숙박업","03_11_03_P","5020000","5030000-201-1980-00002","1980-08-04","","03","폐업","02","폐업","2012-09-26","","","","054 2425068","0.00","790-830","경상북도 포항시 남구 송도동 439-4번지","","","세원장","2003-03-26 00:00:00","I","2018-08-31 23:59:59","여관업","414122.169072707","284026.745039023","여관업","3","1","1","3","1","1","","","","","","임대","","","N",
"2776","숙박업","03_11_03_P","5020000","5040000-201-1988-00006","1988-03-13","","03","폐업","02","폐업","2009-10-07","","","","054 2733501","0.00","791-841","경상북도 포항시 북구 죽도동 52-1번지","","","신경동장여관","2007-10-17 14:54:00","I","2018-08-31 23:59:59","여관업","412985.870933581","283754.077994999","여관업","","","","","","","12","11","","","","","","","N",
"2777","숙박업","03_11_03_P","5020000","5040000-201-1984-00005","1984-09-05","","03","폐업","02","폐업","2023-11-28","","","","054 2758456","0.00","791-842","경상북도 포항시 북구 죽도동 139-9","경상북도 포항시 북구 죽도로20번길 3 (죽도동)","37743","브리스타즈모텔","2023-11-28 09:48:48","U","2023-11-30 02:40:00","여관업","412924.12500605","284102.639989466","여관업","0","0","0","0","0","0","5","5","","","","","0","0","N",
